lll.o_aero,lll.s_aero
AAL,AAR
AAL,BLL
AAL,BLQ
AAL,CPH
AAL,DFW
AAL,EBJ
AAL,HAM
AAL,KEF
AAL,KEL
AAL,KRP
AAL,LBC
AAL,LGW
AAL,MHG
AAL,MMX
AAL,NUE
AAL,ODE
AAL,OSL
AAL,POZ
AAL,PZY
AAL,RJK
AAL,TLL
AAL,WAW
AAQ,KRR
AAQ,SVO
AAR,AAL
AAR,AMS
AAR,ARN
AAR,BCN
AAR,BDS
AAR,BHX
AAR,BIO
AAR,BLL
AAR,BRU
AAR,CDG
AAR,CPH
AAR,CWL
AAR,DUB
AAR,EBJ
AAR,EDI
AAR,FRA
AAR,GIB
AAR,GOT
AAR,GRU
AAR,HAM
AAR,HEL
AAR,IAH
AAR,JFK
AAR,KRP
AAR,KSD
AAR,LBC
AAR,LGW
AAR,LPL
AAR,MAD
AAR,MLA
AAR,MMX
AAR,MXP
AAR,NAH
AAR,ODE
AAR,OSL
AAR,RLG
AAR,SGD
AAR,SKE
AAR,SVO
AAR,SVQ
AAR,SXB
AAR,TLL
AAR,VBY
AAR,VIE
AAR,YHM
AAR,YYZ
AAR,ZRH
ABC,AGB
ABC,BCN
ABC,GVA
ABC,LIS
ABC,MAD
ABC,MUC
ABC,MXP
ABC,QGN
ABC,SOU
ABC,VLC
ABC,ZAZ
ABE,ABQ
ABE,AMS
ABE,BCN
ABE,BGR
ABE,BRN
ABE,BRS
ABE,BRU
ABE,CAE
ABE,CDG
ABE,CZX
ABE,DRS
ABE,DUB
ABE,ESS
ABE,FOC
ABE,GLO
ABE,GRU
ABE,IND
ABE,KRS
ABE,KTW
ABE,KUL
ABE,LAS
ABE,LYS
ABE,MXP
ABE,NKG
ABE,NRT
ABE,OPO
ABE,ORL
ABE,OTP
ABE,PEG
ABE,RTM
ABE,SDF
ABE,SHA
ABE,SIN
ABE,SZG
ABE,TLV
ABE,UTC
ABE,WAW
ABE,YYZ
ABJ,CDG
ABJ,LBV
ABJ,LFW
ABJ,LGW
ABJ,SZX
ABQ,AEP
ABQ,BRE
ABQ,BSL
ABQ,CBG
ABQ,CDG
ABQ,GRU
ABQ,HNL
ABQ,LAS
ABQ,LGW
ABQ,MEX
ABQ,MLM
ABQ,PRG
ABQ,ROC
ABQ,SFO
ABQ,SJU
ABQ,TIJ
ABQ,YVR
ABQ,YYZ
ABY,AMS
ABY,BTV
ABY,DFW
ABY,HNL
ABY,JFK
ABY,LPL
ABY,MEX
ABY,MSP
ABY,PIT
ABY,ROC
ABZ,AAE
ABZ,ABE
ABZ,ABQ
ABZ,ABY
ABZ,ACC
ABZ,ACH
ABZ,ADL
ABZ,AKL
ABZ,AMD
ABZ,AMS
ABZ,ANK
ABZ,ARN
ABZ,ASF
ABZ,ATL
ABZ,AUS
ABZ,BDA
ABZ,BEY
ABZ,BFS
ABZ,BGO
ABZ,BHX
ABZ,BKK
ABZ,BLR
ABZ,BNA
ABZ,BNE
ABZ,BOG
ABZ,BOI
ABZ,BOM
ABZ,BOS
ABZ,BRS
ABZ,BRU
ABZ,BSH
ABZ,BSL
ABZ,BTV
ABZ,BUD
ABZ,BUF
ABZ,BWI
ABZ,CAE
ABZ,CAI
ABZ,CBG
ABZ,CCU
ABZ,CDG
ABZ,CEK
ABZ,CGK
ABZ,CHS
ABZ,CLE
ABZ,CLT
ABZ,CMB
ABZ,CNG
ABZ,CPH
ABZ,CPT
ABZ,CRP
ABZ,CVG
ABZ,CWL
ABZ,DEL
ABZ,DEN
ABZ,DFW
ABZ,DOH
ABZ,DSM
ABZ,DTW
ABZ,DUB
ABZ,EDI
ABZ,ELP
ABZ,ESS
ABZ,EXT
ABZ,FCO
ABZ,FLR
ABZ,FMY
ABZ,FNT
ABZ,FSZ
ABZ,GCI
ABZ,GCM
ABZ,GEG
ABZ,GLA
ABZ,GLO
ABZ,GRU
ABZ,GSO
ABZ,GSP
ABZ,GVA
ABZ,HAG
ABZ,HFD
ABZ,HKG
ABZ,HNL
ABZ,IAD
ABZ,IAH
ABZ,ICN
ABZ,IND
ABZ,INV
ABZ,IPH
ABZ,IST
ABZ,JAN
ABZ,JAX
ABZ,JFK
ABZ,JNB
ABZ,JOI
ABZ,KHI
ABZ,KOI
ABZ,KRR
ABZ,KUL
ABZ,KWA
ABZ,LAS
ABZ,LAX
ABZ,LBA
ABZ,LGW
ABZ,LIT
ABZ,LOS
ABZ,LPL
ABZ,LRD
ABZ,LUX
ABZ,MAD
ABZ,MAF
ABZ,MAN
